result_id,position,rider_id,rider_full_name,rider_country_iso,rider_country_name,rider_region_iso,rider_legacy_id,rider_number,riders_api_uuid,team_id,team_name,team_legacy_id,team_season_id,team_season_year,team_season_current,constructor_id,constructor_name,constructor_legacy_id,average_speed,gap_first,gap_prev,gap_lap,total_laps,top_speed,time,points,status,best_lap_number,best_lap_time,record_speed,record_year,isNewRecord,file,files,session_id,event_id,year,md5,track_condition,air_condition,humidity_condition,ground_condition,weather_condition,category_id,session_number,circuit_name,session_type,category_name,event_name,event_sponsored_name,event_season,circuit_id,circuit_legacy_id,circuit_place,circuit_nation,circuit_country_iso,circuit_country_name,circuit_country_region_iso,event_short_name,team_color,text_color,picture_url,sponsored_team,rider_team_id,rider_name,rider_surname,rider_nickname,current_career_step_season,rider_in_grid,profile_picture_url,bike_picture_url,helmet_picture_url,number_picture_url,portrait_picture_url,rider_type,country_flag_url,birth_city,birth_date,years_old,published,tr.year,_year,_event_id,_session_id
89d37134-5161-4cf4-969b-93814e053a33,1,8c6da2df-4891-41f1-a703-8d51dc51c284,Alvaro Carpe,ES,Spain,,10445,83,992cadcb-08e5-47cf-8b29-cf28d3e941ca,61576267-346c-4d31-b5a2-14340299924d,Red Bull KTM Ajo,580,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.000,0.000,,15,226.6,,,INSTND,15,01:41.252,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,17b5ee79a1b22929468f9b3b1a68c405,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#ff6600,#262626,https://photos.motogp.com/teams/9/3/9340a4a6-b2d4-4b72-be92-86718936c547/main-picture.png,Red Bull KTM Ajo,9340a4a6-b2d4-4b72-be92-86718936c547,Alvaro,Carpe,,2026,1,https://photos.motogp.com/riders/9/9/992cadcb-08e5-47cf-8b29-cf28d3e941ca/2026/profile/main-240730.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Murcia,2007-06-05,18.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
aaadfdf4-f982-4f37-9943-5bfd6b82c028,2,0bfba4d0-4af8-4174-a566-8236e75a3b08,David Almansa,ES,Spain,,10424,22,ed2d5631-8fe0-4a21-8449-463657eb7901,1864ba8e-0ad4-4b7a-a25a-6ce847802ab7,Liqui Moly Dynavolt Intact GP,569,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.059,0.059,,17,223.5,,,INSTND,15,01:41.311,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,dd1ba33badc09892880a19f4c75b7adf,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#535357,#ffffff,https://photos.motogp.com/teams/0/c/0c8d75e7-f283-4713-b1a8-6440e0aafa0a/main-picture.png,Liqui Moly Dynavolt Intact GP ,0c8d75e7-f283-4713-b1a8-6440e0aafa0a,David,Almansa,,2026,1,https://photos.motogp.com/riders/e/d/ed2d5631-8fe0-4a21-8449-463657eb7901/2026/profile/main-10273.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Puertollano,2006-01-22,20.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
75a6ffa7-44be-47c4-98c6-cd5383996223,3,16332a3a-5c77-4f28-b58f-1381711cd452,Adrian Fernandez,ES,Spain,,8649,31,587e8e1a-43c4-4372-bde7-34da0b19e0e6,93c0173b-bdfd-4b7d-9c42-62b84087aadf,Leopard Racing,572,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,,0.295,0.236,,17,222.5,,,INSTND,15,01:41.547,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,d658ad8d599e29f1d5b3d3bc4901fb92,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#75cbd1,#262626,https://photos.motogp.com/teams/a/7/a713a7ba-16ec-4c15-b4a3-7211b43f9a89/main-picture.png,Leopard Racing,a713a7ba-16ec-4c15-b4a3-7211b43f9a89,Adrian,Fernandez,,2026,1,https://photos.motogp.com/riders/5/8/587e8e1a-43c4-4372-bde7-34da0b19e0e6/2026/profile/main-993329.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Madrid,2004-01-31,22.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
6b52824c-0026-4a2f-8fe1-381d160b7fc3,4,ed6ebad8-3f85-48db-8539-5cf755de6c30,David Muñoz,ES,Spain,,9869,64,3061875e-1a3f-4b9d-a974-603becd903a7,61e6bdab-3946-4346-b532-a820d0480df5,Liqui Moly Dynavolt Intact GP,576,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.335,0.040,,13,223.5,,,INSTND,13,01:41.587,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,7bf8d6f953f755f0acc01eb95124e270,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#535357,#ffffff,https://photos.motogp.com/teams/0/c/0c8d75e7-f283-4713-b1a8-6440e0aafa0a/main-picture.png,Liqui Moly Dynavolt Intact GP,0c8d75e7-f283-4713-b1a8-6440e0aafa0a,David,Muñoz ,,2026,1,https://photos.motogp.com/riders/3/0/3061875e-1a3f-4b9d-a974-603becd903a7/2026/profile/main-414519.png,,https://photos.motogp.com/riders/7/4/743afdf2-2785-45e4-8d0a-fe1d3df71012/helmet/main/44_David_Munoz_LGZ5571.jpg,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Brenes,2006-05-15,19.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
cfde53c1-9262-4247-9952-f9cd3e1bdf88,5,760c8192-f5d5-4f96-a032-36dde524ea62,Matteo Bertelle,IT,Italy,,10154,18,fb584b95-a9ed-4d23-8db3-4a946db60fe8,a46ba9da-003c-4312-9565-84d9be17b817,LEVEL UP - MTA,566,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.339,0.004,,16,221.6,,,INSTND,16,01:41.591,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,0e652fe82636a550bfb32ff998562709,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#e04f4f,#ffffff,https://photos.motogp.com/teams/d/f/df8e39c5-dd52-4c4f-9c7c-3853768e3bee/main-picture.png,LEVELUP - MTA,df8e39c5-dd52-4c4f-9c7c-3853768e3bee,Matteo,Bertelle,,2026,1,https://photos.motogp.com/riders/f/b/fb584b95-a9ed-4d23-8db3-4a946db60fe8/2026/profile/main-467005.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/IT.svg,Monselice,2004-02-18,22.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
e4dafd05-de0c-4ed7-9947-1bfb98759620,6,8d4c8c88-f989-4d86-8cfd-702237b8083b,Joel Kelso,AU,Australia,,10284,66,5b5fb07a-f0b6-4f7f-9533-18cad7f0c8f2,543a1d67-f449-40af-8ae1-dc517d2e0194,GRYD - MLav Racing,577,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,,0.363,0.024,,16,223.5,,,INSTND,14,01:41.615,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,df866f5acdc83055c9733eb0d5879ffc,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#262626,#ffffff,https://photos.motogp.com/teams/2/2/2289ee89-1833-4d23-9a46-0014424c6c03/main-picture.png,GRYD - MLav Racing ,2289ee89-1833-4d23-9a46-0014424c6c03,Joel,Kelso,,2026,1,https://photos.motogp.com/riders/5/b/5b5fb07a-f0b6-4f7f-9533-18cad7f0c8f2/2026/profile/main-614117.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/AU.svg,Nambour QLD,2003-06-12,22.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
3493482d-bd55-4db1-86af-d0dbbe48a2a6,7,b187512c-fb56-46b1-b00d-62b46a7c65aa,Hakim Danish,MY,Malaysia,,10239,13,5d81cf1f-1708-47a9-984e-9430afd4a814,7c1180c9-bc25-4456-8f9b-bfc5c0694554,AEON Credit - MT Helmets - MSI,564,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.471,0.108,,17,224.0,,,INSTND,16,01:41.723,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,ab5131f457f3319fd6774b2d9eae85cc,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#ff4133,#ffffff,https://photos.motogp.com/teams/c/8/c8d2f693-73de-4c4b-bb92-6adbd8be070d/main-picture.png,AEON Credit - MT Helmets - MSI,c8d2f693-73de-4c4b-bb92-6adbd8be070d,Hakim,Danish,,2026,1,https://photos.motogp.com/riders/5/d/5d81cf1f-1708-47a9-984e-9430afd4a814/2026/profile/main-934259.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/MY.svg,Terengganu,2007-07-30,18.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
a9e74fb9-7e89-401a-a53d-d8b33852239a,8,e6532a75-fac6-4d72-a03d-26904d3298af,Maximo Quiles,ES,Spain,,10392,28,01f85422-d97e-4901-9492-1be9694a4cc2,a9acac7c-b5c0-4c57-b2d8-60f799ae8e6c,CFMOTO Gaviota Aspar Team,571,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.500,0.029,,15,223.0,,,INSTND,14,01:41.752,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,a58f3532853c11208112be22b35f584a,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#009bb4,#ffffff,https://photos.motogp.com/teams/c/8/c8943f04-52b2-4e40-b5cc-d184cc534807/main-picture.png,CFMOTO Gaviota Aspar Team ,c8943f04-52b2-4e40-b5cc-d184cc534807,Maximo,Quiles,,2026,1,,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Murcia,2008-03-19,17.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
01d2886a-31a6-49ab-a9f5-5ebee141baae,9,eff84411-d39e-49c1-8447-a42160daf173,Marco Morelli,AR,Argentina,,10442,97,101ad37a-28d8-4bcc-bf16-dffdd51f1375,7a01bb08-59fb-461f-a3e6-e5d2c6530ec8,CFMOTO Gaviota Aspar Team,582,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.518,0.018,,17,222.5,,,INSTND,17,01:41.770,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,165123098dfced0584256e8a6815ba5e,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#009bb4,#ffffff,https://photos.motogp.com/teams/c/8/c8943f04-52b2-4e40-b5cc-d184cc534807/main-picture.png,CFMOTO Gaviota Aspar Team,c8943f04-52b2-4e40-b5cc-d184cc534807,Marco,Morelli,,2026,1,https://photos.motogp.com/riders/1/0/101ad37a-28d8-4bcc-bf16-dffdd51f1375/2026/profile/main-28761.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/AR.svg,Barcelona,2007-07-03,18.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
506eca9f-e017-421e-bae7-445fce3e6eae,10,ebbcbb0f-0692-4963-9a8b-7efb7bd91d9e,Brian Uriarte,ES,Spain,,10506,51,6052c038-a2a3-4eab-9ee0-79bd5f5be209,b39364d8-7d57-480f-a51d-438902c4e4c0,Red Bull KTM Ajo,574,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.539,0.021,,18,224.0,,,INSTND,15,01:41.791,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,941d8e7ef83f0ae92602d1a3bcf3b9d7,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#ff6600,#262626,https://photos.motogp.com/teams/9/3/9340a4a6-b2d4-4b72-be92-86718936c547/main-picture.png,Red Bull KTM Ajo ,9340a4a6-b2d4-4b72-be92-86718936c547,Brian,Uriarte,,2026,1,https://photos.motogp.com/riders/6/0/6052c038-a2a3-4eab-9ee0-79bd5f5be209/2026/profile/main-33273.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Santander,2008-08-11,17.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
0c976a50-0c46-4e26-8602-6c973e6f97e7,11,4540b4b4-43ca-46a9-bbca-68ade8c5ced2,Veda Pratama,ID,Indonesia,,10352,9,73085df9-f749-42c4-90b6-6d9863c0f6f4,d0a4d903-a501-49a2-b394-68aa4426fdd6,Honda Team Asia,561,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,,0.635,0.096,,13,222.5,,,INSTND,13,01:41.887,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,5b0bf708704d17cb1ac85ea176b47bf7,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#ffffff,#262626,https://photos.motogp.com/teams/8/3/83291c7a-76ca-400c-bda5-a17a6531f9e3/main-picture.png,Honda Team Asia ,83291c7a-76ca-400c-bda5-a17a6531f9e3,Veda  ,Pratama,,2026,1,https://photos.motogp.com/riders/7/3/73085df9-f749-42c4-90b6-6d9863c0f6f4/2026/profile/main-396407.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ID.svg,Indonesia,,,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
e62a43ee-66de-40c6-9c33-a0527e242569,12,4331b1bc-b5f4-4649-b787-485f762639cb,Scott Ogden,GB,United Kingdom of Great Britain and Northern Ireland,,10114,19,f261e368-80bd-4830-9a2e-1cee3e6b0be4,490ba146-0d21-4975-8d52-c8ad69514dbf,CIP Green Power,567,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.641,0.006,,16,219.1,,,INSTND,16,01:41.893,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,c923d49904e2f29dd8617653ce7e3da4,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#77cd5c,#262626,https://photos.motogp.com/teams/5/f/5f0a22a4-af1f-46ca-baf6-e688f6da8843/main-picture.png,CIP Green Power,5f0a22a4-af1f-46ca-baf6-e688f6da8843,Scott,Ogden,,2026,1,https://photos.motogp.com/riders/f/2/f261e368-80bd-4830-9a2e-1cee3e6b0be4/2026/profile/main-621911.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/GB.svg,Doncaster,2003-10-16,22.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
adbaa50d-eb5d-4106-b513-e3f1e61f10bd,13,aa5b1925-1b45-4cf1-8b0d-7d2726e99415,Adrian Cruces,ES,Spain,,10337,11,769510fc-e823-4bf1-8cda-08c1873935e6,829117b0-6e65-420f-b57a-910f8413eece,CIP Green Power,563,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.671,0.030,,16,222.0,,,INSTND,15,01:41.923,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,77b6d0f85af9f6044c774a57f50b8068,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#77cd5c,#262626,https://photos.motogp.com/teams/5/f/5f0a22a4-af1f-46ca-baf6-e688f6da8843/main-picture.png,CIP Green Power ,5f0a22a4-af1f-46ca-baf6-e688f6da8843,Adrian,Cruces,,2026,1,https://photos.motogp.com/riders/7/6/769510fc-e823-4bf1-8cda-08c1873935e6/2026/profile/main-671874.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Valencia,2006-08-09,19.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
88a4c348-9ecb-4752-8768-8bcc9abbb96f,14,b2ad206f-7eb7-4ecf-b53f-8be998663b23,Casey O'gorman,IE,Ireland,,10335,67,b909706a-1f29-4f38-8a76-40b1fe651d9c,73e5a842-3c50-4ef0-93f1-4c92e39eed58,SIC58 Squadra Corse,578,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,,0.724,0.053,,18,221.1,,,INSTND,18,01:41.976,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,5ade4dbbc7a55dd0a7afa015ac8d30a8,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#e42327,#ffffff,https://photos.motogp.com/teams/5/a/5a444866-8ea4-42fa-bcf7-8c2d0d07a238/main-picture.png,SIC58 Squadra Corse,5a444866-8ea4-42fa-bcf7-8c2d0d07a238,Casey,O'Gorman,,2026,1,https://photos.motogp.com/riders/b/9/b909706a-1f29-4f38-8a76-40b1fe651d9c/2026/profile/main-714455.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/IE.svg,Portlaoise,2007-08-07,18.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
8b0b0a4e-cff8-477f-bfc4-1bf5fa46836c,15,dd9a6ca6-8bb0-4d66-ad73-86092335975f,Joel Esteban,ES,Spain,,10041,78,15049794-9e9a-45da-a2d5-a52d684914a7,03782bdf-5759-40ea-862b-44d52bdd2de5,LEVEL UP - MTA,585,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.759,0.035,,17,223.0,,,INSTND,16,01:42.011,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,438eb48358bd529738222aa64a4febfc,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#e04f4f,#ffffff,https://photos.motogp.com/teams/d/f/df8e39c5-dd52-4c4f-9c7c-3853768e3bee/main-picture.png,LEVEL UP - MTA ,df8e39c5-dd52-4c4f-9c7c-3853768e3bee,Joel,Esteban,,2026,1,https://photos.motogp.com/riders/1/5/15049794-9e9a-45da-a2d5-a52d684914a7/2026/profile/main-842959.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,El Prat de Llobregat,2005-08-07,20.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
440ae487-3a3b-427a-bc27-fe3b60746c7c,16,f69ef365-138a-4727-a992-b8857bc5bb52,Valentin Perrone,AR,Argentina,,10509,73,c1dbeba7-8a56-40fd-ab57-cd6eb37e63f3,6d219865-5377-48b7-a50d-595175870fe3,Red Bull KTM Tech3,579,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.768,0.009,,17,223.0,,,INSTND,17,01:42.020,,,,https://resources.motogp.com/files/results/2026/FRA/Moto3/FP1/Classification.pdf,,a040b367-18fa-445f-9de2-424b41a51572,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,b46357a2c760eb51ca5bbaf1f1d7d6df,Dry,15º,68%,11º,Partly-Cloudy,954f7e65-2ef2-4423-b949-4961cc603e45,1,Le Mans,FP,Moto3™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#d85700,#ffffff,https://photos.motogp.com/teams/2/7/274007da-aa69-4f74-b987-e910363bf8e3/main-picture.png,Red Bull KTM Tech3,274007da-aa69-4f74-b987-e910363bf8e3,Valentin,Perrone,,2026,1,https://photos.motogp.com/riders/c/1/c1dbeba7-8a56-40fd-ab57-cd6eb37e63f3/2026/profile/main-135042.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/AR.svg,Barcelona,2007-12-28,18.0,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,a040b367-18fa-445f-9de2-424b41a51572
